X,Y,O,44:25:2C:54:32:F9,49:29:6D:6C:49:9F,5c:83:8f:bc:40:10,5c:83:8f:bc:40:13,5c:83:8f:bc:40:15,5c:83:8f:bc:40:16,5c:83:8f:bc:40:17,5c:83:8f:bc:40:18,5c:83:8f:f2:e3:60,5c:83:8f:f2:e3:63,5c:83:8f:f2:e3:65,5c:83:8f:f2:e3:66,5c:83:8f:f2:e3:67,5c:83:8f:f2:e3:68,5c:83:8f:f2:e3:69,5c:83:8f:f2:e3:6a,5c:83:8f:f2:e3:6c,5c:83:8f:f2:e3:6f,7A:06:A9:3F:24:3C,c8:f9:f9:72:c8:f0,c8:f9:f9:72:c8:f3,c8:f9:f9:72:c8:f4,c8:f9:f9:72:c8:f5,c8:f9:f9:72:c8:f6,c8:f9:f9:72:e7:80,c8:f9:f9:72:e7:83,c8:f9:f9:72:e7:84,c8:f9:f9:72:e7:85,c8:f9:f9:72:e7:86,c8:f9:f9:72:e7:89,c8:f9:f9:72:e7:8a,c8:f9:f9:72:e7:8b,c8:f9:f9:72:e7:8c,c8:f9:f9:72:e7:8f,c8:f9:f9:72:eb:50,c8:f9:f9:72:eb:53,c8:f9:f9:72:eb:54,c8:f9:f9:72:eb:55,c8:f9:f9:72:eb:56,c8:f9:f9:73:36:20,c8:f9:f9:73:36:25,c8:f9:f9:73:36:28,c8:f9:f9:73:38:b0,c8:f9:f9:73:38:b3,c8:f9:f9:73:38:b4,c8:f9:f9:73:38:b5,c8:f9:f9:73:38:b6,c8:f9:f9:88:23:20,c8:f9:f9:88:23:24,c8:f9:f9:88:23:25,c8:f9:f9:88:39:10,c8:f9:f9:88:39:13,c8:f9:f9:88:39:14,c8:f9:f9:88:39:15,c8:f9:f9:88:39:16,c8:f9:f9:88:39:19,c8:f9:f9:88:39:1a,c8:f9:f9:88:39:1b,c8:f9:f9:88:39:1c,c8:f9:f9:88:39:1f,c8:f9:f9:88:8b:60,c8:f9:f9:88:8b:63,c8:f9:f9:88:8b:64,c8:f9:f9:88:8b:65,c8:f9:f9:88:8b:66,c8:f9:f9:88:8b:69,c8:f9:f9:88:8b:6a,c8:f9:f9:88:8b:6c,fc:5b:39:b0:4e:bf,magX,magY,magZ,Ori
0.8,1.35,90,-104,-109,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-89,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,40.313720703125,-28.84521484375,-21.2295532226562,253.37148
0.8,1.35,90,-90,-91,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-71,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,40.5609130859375,-16.0079956054688,-25.927734375,253.07077
0.8,1.35,90,-101,-102,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-90,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,42.05322265625,0.55694580078125,-28.0731201171875,252.54306
0.8,1.35,90,-100,-103,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-89,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,38.5986328125,-30.3131103515625,-19.5510864257813,252.08405
0.8,1.35,90,-100,-105,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-93,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,32.2158813476562,-37.957763671875,-15.008544921875,252.73981
0.8,1.35,90,-97,-90,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-80,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,38.7481689453125,-36.572265625,-15.1626586914063,252.56511
0.8,1.35,90,-81,-75,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-65,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,39.2303466796875,-29.7454833984375,-23.0499267578125,252.45667
0.8,1.35,90,-98,-93,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,38.177490234375,-37.530517578125,-0.9918212890625,252.65265
0.8,1.35,90,-78,-94,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,38.76953125,-38.3407592773437,-0.12054443359375,252.1792
0.8,1.35,90,-98,-93,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,37.9470825195312,-33.819580078125,-10.11962890625,252.43353
